cust_id,similar_customers
C0052,"[('C0003', 0.9847977904024423), ('C0031', 0.9562408372472041), ('C0152', 0.8974191037396889)]"
C0053,"[('C0149', 0.9432147499542579), ('C0141', 0.8377345655723135), ('C0041', 0.7584923224259471)]"
C0054,"[('C0028', 0.978916553240276), ('C0045', 0.9695282703715946), ('C0188', 0.8897734939613036)]"
C0055,"[('C0072', 0.9960642643017802), ('C0035', 0.931877763852065), ('C0157', 0.9031412867543052)]"
C0056,"[('C0106', 0.9871111672738523), ('C0134', 0.9511373741631114), ('C0092', 0.8977899561774373)]"
C0057,"[('C0023', 0.9620610449787509), ('C0064', 0.9351506596659801), ('C0041', 0.9098611219865654)]"
C0058,"[('C0033', 0.9644412295507905), ('C0144', 0.9326547688070346), ('C0029', 0.8964034153942112)]"
C0059,"[('C0065', 0.9622429462504624), ('C0104', 0.865017980995373), ('C0141', 0.835444003094532)]"
C0060,"[('C0014', 0.9763044912298496), ('C0097', 0.9308394914792367), ('C0151', 0.9198465374554283)]"
C0061,"[('C0062', 0.9309852212239318), ('C0198', 0.8774888678299502), ('C0010', 0.7869839998123432)]"
C0062,"[('C0198', 0.9826393852804506), ('C0010', 0.9468996751260049), ('C0061', 0.9309852212239318)]"
C0063,"[('C0073', 0.9804458989210464), ('C0132', 0.9724798033863198), ('C0167', 0.9557765307900539)]"
C0064,"[('C0057', 0.9351506596659801), ('C0023', 0.9134693132468126), ('C0135', 0.9030638504416899)]"
C0065,"[('C0059', 0.9622429462504624), ('C0156', 0.9179751740384771), ('C0104', 0.8691363993198585)]"
C0066,"[('C0114', 0.8668237739556598), ('C0089', 0.8632975112111057), ('C0196', 0.8476642234840427)]"
C0067,"[('C0183', 0.9193606191337921), ('C0016', 0.9168655516177493), ('C0034', 0.8429199013810244)]"
C0068,"[('C0065', 0.8577672490242019), ('C0156', 0.8512274198367394), ('C0102', 0.829487029546005)]"
C0069,"[('C0127', 0.9468620962096952), ('C0199', 0.9234942655421745), ('C0197', 0.8195199801093221)]"
C0070,"[('C0135', 0.9999711811099421), ('C0167', 0.9412680154594666), ('C0064', 0.9012890663906415)]"
C0071,"[('C0032', 0.9538852332875642), ('C0151', 0.8302928432078415), ('C0174', 0.8223998297853733)]"
C0072,"[('C0055', 0.9960642643017802), ('C0035', 0.9380057580379497), ('C0154', 0.9199393000011158)]"
C0073,"[('C0132', 0.986858424865523), ('C0167', 0.9808804777147319), ('C0063', 0.9804458989210464)]"
C0074,"[('C0044', 0.9956498114344696), ('C0135', 0.8878649863901525), ('C0070', 0.8850869411752105)]"
C0075,"[('C0017', 0.9694478848397573), ('C0156', 0.8796572110602152), ('C0175', 0.8726439308789605)]"
C0076,"[('C0031', 0.9616407487098965), ('C0025', 0.960173377397467), ('C0052', 0.8955672894067662)]"
C0077,"[('C0083', 0.9980081482532001), ('C0033', 0.8841663400159926), ('C0032', 0.8798303350328851)]"
C0078,"[('C0123', 0.903280387211098), ('C0080', 0.8880060576913115), ('C0110', 0.8818115894317693)]"
C0079,"[('C0196', 0.8229746864462962), ('C0185', 0.7868489723539215), ('C0117', 0.7735669649023975)]"
C0080,"[('C0110', 0.9961255019624126), ('C0078', 0.8880060576913115), ('C0159', 0.8526398291713063)]"
C0081,"[('C0017', 0.8567347350005199), ('C0057', 0.844241503691766), ('C0019', 0.8313225825219901)]"
C0082,"[('C0087', 0.9867764567839928), ('C0171', 0.8919844582601085), ('C0155', 0.8762267412848438)]"
C0083,"[('C0077', 0.9980081482532001), ('C0033', 0.8906553975016168), ('C0032', 0.8901586660347537)]"
C0084,"[('C0162', 0.9708220421186204), ('C0093', 0.8128640256519226), ('C0175', 0.7986498145151489)]"
C0085,"[('C0006', 0.8128834971455396), ('C0011', 0.7724136065680407), ('C0078', 0.758247338351337)]"
C0086,"[('C0164', 0.9786122603259391), ('C0166', 0.9447444170466646), ('C0172', 0.9099148734972107)]"
C0087,"[('C0082', 0.9867764567839928), ('C0155', 0.9427495337694066), ('C0153', 0.9122321729558021)]"
C0088,"[('C0134', 0.968699920495953), ('C0002', 0.9663574397998078), ('C0106', 0.9194850318249369)]"
C0089,"[('C0196', 0.8653431195796859), ('C0066', 0.8632975112111057), ('C0044', 0.8465349047934945)]"
C0090,"[('C0021', 0.9222385105269904), ('C0101', 0.9075941475391405), ('C0161', 0.8919894184506293)]"
C0091,"[('C0181', 0.9941143057419918), ('C0184', 0.9680823029854455), ('C0190', 0.9415515815175202)]"
C0092,"[('C0056', 0.8977899561774373), ('C0106', 0.8486766454769781), ('C0134', 0.7814896486074581)]"
C0093,"[('C0145', 0.9538831998851804), ('C0109', 0.8641912198560466), ('C0175', 0.8600859168939152)]"
C0094,"[('C0032', 0.8588249086968618), ('C0121', 0.8571894442272171), ('C0116', 0.8364984823058427)]"
C0095,"[('C0130', 0.990646756590351), ('C0112', 0.9816068393482765), ('C0120', 0.8833661695009613)]"
C0096,"[('C0148', 0.9929685685513611), ('C0114', 0.8767244027327752), ('C0168', 0.8563024888465663)]"
C0097,"[('C0128', 0.9771726459756883), ('C0060', 0.9308394914792367), ('C0151', 0.9210787156991066)]"
C0098,"[('C0049', 0.9758293156875518), ('C0034', 0.915640013967742), ('C0109', 0.8324071377142741)]"
C0099,"[('C0013', 0.9855644363688846), ('C0108', 0.9145977142682014), ('C0141', 0.8852768717116761)]"
C0100,"[('C0037', 0.9410410287773388), ('C0170', 0.9244860910879463), ('C0182', 0.9212306260915826)]"
C0101,"[('C0021', 0.9991419612548103), ('C0173', 0.9970101269423839), ('C0175', 0.9714922686212294)]"
C0102,"[('C0188', 0.9760785982060002), ('C0039', 0.8530178722802677), ('C0165', 0.8528107255855055)]"
C0103,"[('C0111', 0.9804288939381138), ('C0010', 0.9552968720724648), ('C0009', 0.873094520148425)]"
C0104,"[('C0012', 0.9659896786844346), ('C0163', 0.8986183457992473), ('C0065', 0.8691363993198585)]"
C0105,"[('C0051', 0.963017034162674), ('C0114', 0.8204117185639852), ('C0041', 0.7015646087864061)]"
C0106,"[('C0134', 0.9882923452340413), ('C0056', 0.9871111672738523), ('C0088', 0.9194850318249369)]"
C0107,"[('C0133', 0.9172225938533258), ('C0108', 0.7848962919629165), ('C0129', 0.7697429218959332)]"
C0108,"[('C0013', 0.9198465159324428), ('C0099', 0.9145977142682014), ('C0107', 0.7848962919629165)]"
C0109,"[('C0008', 0.8700104206236067), ('C0093', 0.8641912198560466), ('C0156', 0.8505069751198905)]"
C0110,"[('C0080', 0.9961255019624126), ('C0159', 0.8852592209199679), ('C0078', 0.8818115894317693)]"
C0111,"[('C0103', 0.9804288939381138), ('C0010', 0.9708504756032534), ('C0009', 0.9233460568467643)]"
C0112,"[('C0095', 0.9816068393482765), ('C0130', 0.9477792559538715), ('C0192', 0.9226001812998923)]"
C0113,"[('C0012', 0.926666631328166), ('C0195', 0.8863799668804897), ('C0104', 0.8656746057656879)]"
C0114,"[('C0096', 0.8767244027327752), ('C0066', 0.8668237739556598), ('C0148', 0.8496207127324764)]"
C0115,"[('C0007', 0.9342226712579291), ('C0140', 0.9234765274872994), ('C0066', 0.8144798459587038)]"
C0116,"[('C0047', 0.9750201428572065), ('C0024', 0.9251497262074434), ('C0194', 0.8868656418341395)]"
C0117,"[('C0185', 0.9646224461580687), ('C0018', 0.947351865308591), ('C0125', 0.7883604603728029)]"
C0118,"[('C0191', 0.9411716825774733), ('C0174', 0.9377574699310505), ('C0137', 0.921329262827195)]"
C0119,"[('C0199', 0.9065789329050773), ('C0121', 0.8492929185426716), ('C0069', 0.8084658861187822)]"
C0120,"[('C0112', 0.9158574999108647), ('C0095', 0.8833661695009613), ('C0130', 0.8254249096971962)]"
C0121,"[('C0019', 0.902523629526074), ('C0032', 0.8679579988694851), ('C0094', 0.8571894442272171)]"
C0122,"[('C0046', 0.9800440525170812), ('C0156', 0.889577568051988), ('C0194', 0.8605694514775937)]"
C0123,"[('C0078', 0.903280387211098), ('C0027', 0.8867666448638124), ('C0177', 0.8854288447152275)]"
C0124,"[('C0179', 0.9512588016688928), ('C0100', 0.8020015866418491), ('C0164', 0.7756558649523815)]"
C0125,"[('C0131', 0.9035487278904845), ('C0036', 0.8869665729265175), ('C0117', 0.7883604603728029)]"
C0126,"[('C0169', 0.9998649696443594), ('C0153', 0.9961933707533492), ('C0155', 0.9593860316531083)]"
C0127,"[('C0069', 0.9468620962096952), ('C0199', 0.7917920341409219), ('C0119', 0.7747819748926802)]"
C0128,"[('C0097', 0.9771726459756883), ('C0151', 0.885958117553046), ('C0014', 0.8847810134179102)]"
C0129,"[('C0133', 0.9534490902808894), ('C0150', 0.8599593064130814), ('C0107', 0.7697429218959332)]"
C0130,"[('C0095', 0.990646756590351), ('C0112', 0.9477792559538715), ('C0150', 0.8747319598740617)]"
C0131,"[('C0036', 0.9987376239348197), ('C0015', 0.9746260478193932), ('C0125', 0.9035487278904845)]"
C0132,"[('C0073', 0.986858424865523), ('C0063', 0.9724798033863198), ('C0167', 0.93654348138099)]"
C0133,"[('C0129', 0.9534490902808894), ('C0107', 0.9172225938533258), ('C0150', 0.7590167250566363)]"
C0134,"[('C0106', 0.9882923452340413), ('C0088', 0.968699920495953), ('C0056', 0.9511373741631114)]"
C0135,"[('C0070', 0.9999711811099421), ('C0167', 0.9400136812900317), ('C0064', 0.9030638504416899)]"
C0136,"[('C0138', 0.682046112091577), ('C0178', 0.6642026390013043), ('C0012', 0.6162900485936066)]"
C0137,"[('C0191', 0.9741953304200246), ('C0011', 0.9611944701177748), ('C0174', 0.9569537880548074)]"
C0138,"[('C0196', 0.8340213185771391), ('C0182', 0.801979407032514), ('C0170', 0.7959489766549459)]"
C0139,"[('C0024', 0.9827463254493488), ('C0194', 0.973996404510574), ('C0047', 0.9497917201581433)]"
C0140,"[('C0007', 0.9764156563035169), ('C0115', 0.9234765274872994), ('C0005', 0.8699371190923245)]"
C0141,"[('C0099', 0.8852768717116761), ('C0054', 0.8704358415320171), ('C0041', 0.8498070087883453)]"
C0142,"[('C0177', 0.9839067512739179), ('C0027', 0.9763773438913356), ('C0043', 0.9327341726706181)]"
C0143,"[('C0145', 0.945505844928605), ('C0022', 0.9352653752094695), ('C0200', 0.8522735801358357)]"
C0144,"[('C0058', 0.9326547688070346), ('C0176', 0.9316519563592259), ('C0042', 0.9121180368934811)]"
C0145,"[('C0093', 0.9538831998851804), ('C0143', 0.945505844928605), ('C0022', 0.8963627488255572)]"
C0146,"[('C0005', 0.9598508342465528), ('C0186', 0.9516395039024805), ('C0007', 0.8431738734340793)]"
C0147,"[('C0161', 0.8371030099763092), ('C0118', 0.8211319277100686), ('C0139', 0.8047567016881152)]"
C0148,"[('C0096', 0.9929685685513611), ('C0114', 0.8496207127324764), ('C0168', 0.8282781066652031)]"
C0149,"[('C0053', 0.9432147499542579), ('C0114', 0.6953278126653477), ('C0182', 0.6940807576121643)]"
C0150,"[('C0130', 0.8747319598740617), ('C0129', 0.8599593064130814), ('C0058', 0.8566277173485616)]"
C0151,"[('C0025', 0.9217656623161232), ('C0097', 0.9210787156991066), ('C0060', 0.9198465374554283)]"
C0152,"[('C0003', 0.9262643125643458), ('C0195', 0.9243254525060433), ('C0052', 0.8974191037396889)]"
C0153,"[('C0126', 0.9961933707533492), ('C0169', 0.9946263774767309), ('C0155', 0.9644981764875474)]"
C0154,"[('C0072', 0.9199393000011158), ('C0055', 0.9013428610775919), ('C0035', 0.7453376503495313)]"
C0155,"[('C0153', 0.9644981764875474), ('C0004', 0.9620829055324883), ('C0126', 0.9593860316531083)]"
C0156,"[('C0065', 0.9179751740384771), ('C0175', 0.9000190022887993), ('C0165', 0.8964748436269113)]"
C0157,"[('C0055', 0.9031412867543052), ('C0072', 0.8615323432164813), ('C0119', 0.8084160855312333)]"
C0158,"[('C0163', 0.7668432816176892), ('C0003', 0.7648590257137903), ('C0152', 0.7632148922422116)]"
C0159,"[('C0178', 0.9584208843239364), ('C0110', 0.8852592209199679), ('C0128', 0.8528069915874112)]"
C0160,"[('C0038', 0.9908010904462333), ('C0189', 0.9864256473194842), ('C0076', 0.5827889252293047)]"
C0161,"[('C0090', 0.8919894184506293), ('C0147', 0.8371030099763092), ('C0139', 0.7870892151554533)]"
C0162,"[('C0084', 0.9708220421186204), ('C0028', 0.8364489129895929), ('C0045', 0.8135758335116049)]"
C0163,"[('C0104', 0.8986183457992473), ('C0012', 0.8846593572479359), ('C0082', 0.834520758053663)]"
C0164,"[('C0086', 0.9786122603259391), ('C0166', 0.9332298104073629), ('C0179', 0.9322916436283453)]"
C0165,"[('C0004', 0.9711437718179058), ('C0155', 0.9533393039090635), ('C0087', 0.9052758273600388)]"
C0166,"[('C0086', 0.9447444170466646), ('C0164', 0.9332298104073629), ('C0014', 0.822812023835793)]"
C0167,"[('C0073', 0.9808804777147319), ('C0063', 0.9557765307900539), ('C0070', 0.9412680154594666)]"
C0168,"[('C0006', 0.9732537429499296), ('C0171', 0.9538982236104937), ('C0187', 0.905741014101003)]"
C0169,"[('C0126', 0.9998649696443594), ('C0153', 0.9946263774767309), ('C0155', 0.9576043131480219)]"
C0170,"[('C0182', 0.9998687772092266), ('C0037', 0.9576501660453222), ('C0196', 0.9428253914741455)]"
C0171,"[('C0187', 0.9825428678225565), ('C0168', 0.9538982236104937), ('C0006', 0.9513382554181677)]"
C0172,"[('C0086', 0.9099148734972107), ('C0164', 0.819320434574492), ('C0179', 0.7973317248870571)]"
C0173,"[('C0101', 0.9970101269423839), ('C0021', 0.9929543456366224), ('C0175', 0.9626212011912851)]"
C0174,"[('C0191', 0.9977690620496557), ('C0137', 0.9569537880548074), ('C0118', 0.9377574699310505)]"
C0175,"[('C0021', 0.9738566520776306), ('C0101', 0.9714922686212294), ('C0173', 0.9626212011912851)]"
C0176,"[('C0042', 0.9983241434053245), ('C0144', 0.9316519563592259), ('C0058', 0.746783391925166)]"
C0177,"[('C0027', 0.9992726588941075), ('C0142', 0.9839067512739179), ('C0193', 0.9292405510827203)]"
C0178,"[('C0159', 0.9584208843239364), ('C0128', 0.7724246580024995), ('C0110', 0.7535978846133182)]"
C0179,"[('C0124', 0.9512588016688928), ('C0164', 0.9322916436283453), ('C0086', 0.8945671282406735)]"
C0181,"[('C0091', 0.9941143057419918), ('C0184', 0.9642116152804525), ('C0190', 0.9435580086476462)]"
C0182,"[('C0170', 0.9998687772092266), ('C0037', 0.952860068329491), ('C0196', 0.9462402110253926)]"
C0183,"[('C0016', 0.9998750016492791), ('C0067', 0.9193606191337921), ('C0042', 0.7550412889599553)]"
C0184,"[('C0091', 0.9680823029854455), ('C0181', 0.9642116152804525), ('C0190', 0.8305862072797746)]"
C0185,"[('C0117', 0.9646224461580687), ('C0018', 0.8362687678528234), ('C0044', 0.8297627384163058)]"
C0186,"[('C0005', 0.9787905419345102), ('C0146', 0.9516395039024805), ('C0007', 0.7983050538194916)]"
C0187,"[('C0171', 0.9825428678225565), ('C0006', 0.9447449444739173), ('C0153', 0.9195053075181427)]"
C0188,"[('C0102', 0.9760785982060002), ('C0054', 0.8897734939613036), ('C0028', 0.8748607462961286)]"
C0189,"[('C0038', 0.9995733351713185), ('C0160', 0.9864256473194842), ('C0157', 0.6589879700275691)]"
C0190,"[('C0001', 0.9682154512951261), ('C0181', 0.9435580086476462), ('C0091', 0.9415515815175202)]"
C0191,"[('C0174', 0.9977690620496557), ('C0137', 0.9741953304200246), ('C0118', 0.9411716825774733)]"
C0192,"[('C0112', 0.9226001812998923), ('C0190', 0.9158338172616637), ('C0095', 0.8761931953536805)]"
C0193,"[('C0027', 0.9426540111083521), ('C0177', 0.9292405510827203), ('C0142', 0.8482672099253926)]"
C0194,"[('C0024', 0.9942925880026815), ('C0139', 0.973996404510574), ('C0047', 0.9217514440085562)]"
C0195,"[('C0152', 0.9243254525060433), ('C0012', 0.907840343168503), ('C0113', 0.8863799668804897)]"
C0196,"[('C0182', 0.9462402110253926), ('C0170', 0.9428253914741455), ('C0089', 0.8653431195796859)]"
C0197,"[('C0199', 0.916256916959352), ('C0069', 0.8195199801093221), ('C0130', 0.7631437066438136)]"
C0198,"[('C0062', 0.9826393852804506), ('C0009', 0.9520351377564203), ('C0010', 0.9274951431000392)]"
C0199,"[('C0069', 0.9234942655421745), ('C0197', 0.916256916959352), ('C0119', 0.9065789329050773)]"
C0200,"[('C0022', 0.8931688541044901), ('C0143', 0.8522735801358357), ('C0040', 0.8438977384837257)]"
